Date	GBP/CHF			
22 Jan 08	21.528			
23 Jan 08	21.277			
24 Jan 08	21.455			
25 Jan 08	21.742			
28 Jan 08	21.637			
29 Jan 08	21.732			
30 Jan 08	2.173			
31 Jan 08	21.562			
01/02/2008	2.13			
04/02/2008	21.535			
05/02/2008	2.163			
06/02/2008	21.492			
07/02/2008	21.412			
08/02/2008	21.512			
11/02/2008	21.499			
12/02/2008	2.157			
13/02/2008	21.747			
14/02/2008	21.717			
15/02/2008	21.412			
18/02/2008	21.505			
19/02/2008	21.336			
20/02/2008	21.364			
21/02/2008	21.458			
22/02/2008	21.363			
25/02/2008	21.432			
26/02/2008	21.398			
27/02/2008	21.205			
28/02/2008	20.947			
29/02/2008	20.765			
03/03/2008	20.664			
04/03/2008	20.536			
05/03/2008	20.617			
06/03/2008	20.677			
07/03/2008	20.647			
10/03/2008	20.553			
11/03/2008	20.624			
12/03/2008	20.655			
13/03/2008	20.548			
14/03/2008	20.439			
17/03/2008	1.973			
18/03/2008	20.012			
19/03/2008	19.872			
20/03/2008	20.038			
25/03/2008	20.175			
26/03/2008	19.931			
27/03/2008	19.961			
28/03/2008	19.853			
31/03/2008	19.656			
01/04/2008	19.996			
02/04/2008	20.114			
03/04/2008	20.177			
04/04/2008	20.007			
07/04/2008	20.177			
08/04/2008	19.965			
09/04/2008	19.863			
10/04/2008	19.781			
11/04/2008	19.743			
14/04/2008	19.767			
15/04/2008	19.657			
16/04/2008	19.732			
17/04/2008	19.956			
18/04/2008	20.479			
21/04/2008	19.986			
22/04/2008	20.049			
23/04/2008	20.114			
24/04/2008	20.355			
25/04/2008	20.526			
28/04/2008	2.062			
29/04/2008	20.357			
30/04/2008	20.631			
01 May 08	20.696			
02 May 08	20.897			
06 May 08	20.703			
07 May 08	2.062			
08 May 08	20.531			
09 May 08	20.321			
12 May 08	2.051			
13 May 08	2.046			
14 May 08	20.506			
15 May 08	20.533			
16 May 08	20.475			
19 May 08	20.533			
20 May 08	20.463			
21 May 08	20.216			
22 May 08	20.452			
23 May 08	20.311			
27 May 08	20.333			
28 May 08	20.572			
29 May 08	20.706			
30 May 08	20.645			
02 Jun 08	20.446			
03 Jun 08	20.524			
04 Jun 08	20.332			
05 Jun 08	2.035			
06 Jun 08	20.151			
09 Jun 08	20.234			
10 Jun 08	20.302			
11 Jun 08	20.312			
12 Jun 08	20.332			
13 Jun 08	2.043			
16 Jun 08	20.504			
17 Jun 08	20.395			
18 Jun 08	20.356			
19 Jun 08	2.062			
20 Jun 08	2.043			
23 Jun 08	20.536			
24 Jun 08	20.464			
25 Jun 08	2.052			
26 Jun 08	20.425			
27 Jun 08	20.316			
30 Jun 08	20.273			
01 Jul 08	20.328			
02 Jul 08	20.251			
03 Jul 08	20.348			
04 Jul 08	20.295			
07 Jul 08	20.321			
08 Jul 08	20.298			
09 Jul 08	20.395			
10 Jul 08	20.294			
11 Jul 08	20.224			
14 Jul 08	20.298			
